Regiões Administrativas;2013;2014;2015;2016;2020
;;;;;
Anchieta;  159 491;  159 740;  159 978;  160 208;  161 052
;;;;;
Bangu;  430 417;  430 922;  431 406;  431 871;  433 586
;;;;;
Barra da Tijuca;  340 822;  349 296;  357 420;  365 241;  394 037
;;;;;
Botafogo;  239 993;  240 049;  240 102;  240 154;  240 344
;;;;;
Campo Grande;  560 340;  564 208;  567 916;  571 485;  584 628
;;;;;
Centro;  41 777;  41 911;  42 040;  42 164;  42 621
;;;;;
Cidade de Deus;  36 040;  35 940;  35 843;  35 750;  35 409
;;;;;
Complexo do Alemão;  70 445;  70 721;  70 985;  71 240;  72 177
;;;;;
Copacabana;  161 195;  161 196;  161 197;  161 198;  161 201
;;;;;
Guaratiba;  130 043;  131 511;  132 919;  134 273;  139 262
;;;;;
Ilha de Paquetá;  3 342;  3 338;  3 334;  3 330;  3 317
;;;;;
Ilha do Governador;  212 923;  212 998;  213 069;  213 137;  213 388
;;;;;
Inhaúma;  135 524;  135 772;  136 011;  136 241;  137 086
;;;;;
Irajá;  202 947;  202 946;  202 945;  202 944;  202 941
;;;;;
Jacarepaguá;  605 173;  612 070;  618 682;  625 047;  648 484
;;;;;
Jacarezinho;  38 275;  38 368;  38 457;  38 542;  38 856
;;;;;
Lagoa;  165 785;  165 364;  164 960;  164 571;  163 139
;;;;;
Madureira;  371 276;  371 129;  370 988;  370 853;  370 355
;;;;;
Maré;  134 819;  135 888;  136 914;  137 901;  141 535
;;;;;
Méier;  397 559;  397 512;  397 467;  397 423;  397 263
;;;;;
Pavuna;  212 528;  213 315;  214 069;  214 795;  217 470
;;;;;
Penha;  186 514;  186 683;  186 845;  187 001;  187 575
;;;;;
Portuária;  51 413;  51 995;  52 553;  53 091;  55 070
;;;;;
Ramos;  154 054;  154 240;  154 418;  154 590;  155 222
;;;;;
Realengo;  244 227;  244 485;  244 733;  244 972;  245 851
;;;;;
Rio Comprido;  80 656;  81 012;  81 353;  81 682;  82 892
;;;;;
Rocinha;  73 473;  74 346;  75 182;  75 987;  78 951
;;;;;
Santa Cruz;  386 639;  390 475;  394 152;  397 692;  410 726
;;;;;
Santa Teresa;  40 857;  40 842;  40 828;  40 814;  40 765
;;;;;
São Cristóvão;  89 324;  90 260;  91 157;  92 020;  95 199
;;;;;
Tijuca;  182 069;  182 124;  182 176;  182 227;  182 413
;;;;;
Vigário Geral;  136 443;  136 501;  136 556;  136 609;  136 805
;;;;;
Vila Isabel;  190 353;  190 574;  190 785;  190 989;  191 740
