Bairros;Total anual;Média diária
Saúde;-;-
Gamboa;-;-
Santo Cristo;-;-
Caju;-;-
Centro; 40 478;  111
Lapa;-;-
Catumbi;-;-
Rio Comprido;-;-
Cidade Nova;-;-
Estácio;-;-
São Cristóvão; 8 230;  23
Mangueira;-;-
Benfica ; 1 304;  4
Vasco da Gama;-;-
Paquetá;-;-
Santa Teresa;-;-
Flamengo;-;-
Glória;-;-
Laranjeiras;-;-
Catete;-;-
Cosme Velho;-;-
Botafogo;-;-
Humaitá;-;-
Urca;-;-
Leme;-;-
Copacabana;-;-
Ipanema;-;-
Leblon;-;-
Lagoa;-;-
Jardim Botânico;-;-
Gávea;-;-
Vidigal;-;-
São Conrado;-;-
Rocinha;-;-
Praça da Bandeira; 1 333;  4
Tijuca;-;-
Alto da Boa Vista;-;-
Maracanã; 3 536;  10
Vila Isabel;-;-
Andaraí;-;-
Grajaú;-;-
Manguinhos;  716;  2
Bonsucesso; 2 225;  6
Ramos;  930;  3
Olaria; 1 096;  3
Maré;-;-
Jacaré;-;-
São Francisco Xavier;  837;  2
Rocha;-;-
Riachuelo; 1 335;  4
Sampaio;  547;  1
Engenho Novo; 1 294;  4
Lins de Vasconcelos;-;-
Méier; 4 492;  12
Todos os Santos;-;-
Cachambi;-;-
Engenho de Dentro; 3 447;  9
Água Santa;-;-
Encantado;-;-
Piedade; 1 058;  3
Abolição;-;-
Pilares;  271;  1
Jacarezinho;  117;  
Vila Cosmos;-;-
Vicente de Carvalho;-;-
Vila da Penha;-;-
Vista Alegre;-;-
Irajá;-;-
Colégio;-;-
Campinho;-;-
Quintino Bocaiúva;  916;  3
Cavalcanti;  175;-
Engenheiro Leal;-;-
Cascadura;  175;  
Madureira; 12 413;  34
Vaz Lobo;-;-
Turiaçu;-;-
Rocha Miranda;  191;  1
Honório Gurgel;  239;  1
Oswaldo Cruz; 1 004;  3
Bento Ribeiro; 1 039;  3
Marechal Hermes; 1 875;  5
Higienópolis;-;-
Maria da Graça;-;-
Del Castilho;  212;  1
Inhaúma;-;-
Engenho da Rainha;-;-
Tomás Coelho;  193;  1
Complexo do Alemão;-;-
Penha; 1 316;  4
Penha Circular;  822;  2
Brás de Pina;  421;  1
Cordovil;  572;  2
Parada de Lucas;  654;  2
Vigário Geral;  443;  1
Jardim América;-;-
Guadalupe;-;-
Anchieta;  934;  3
Parque Anchieta;-;-
Ricardo de Albuquerque; 1 462;  4
Coelho Neto;-;-
Acari;-;-
Barros Filho;  126;-
Costa Barros;  120;-
Pavuna;  647;  2
Parque Colúmbia;-;-
Ribeira;-;-
Zumbi;-;-
Cacuia;-;-
Pitangueiras;-;-
Praia da Bandeira;-;-
Cocotá;-;-
Bancários;-;-
Freguesia;-;-
Jardim Guanabara;-;-
Jardim Carioca;-;-
Tauá;-;-
Moneró;-;-
Portuguesa;-;-
Galeão;-;-
Cidade Universitária;-;-
Jacarepaguá;-;-
Anil;-;-
Gardênia Azul;-;-
Curicica;-;-
Freguesia (Jacarepaguá);-;-
Pechincha;-;-
Taquara ;-;-
Tanque ;-;-
Praça Seca;-;-
Vila Valqueire;-;-
Cidade de Deus ;-;-
Joá;-;-
Itanhangá;-;-
Barra da Tijuca;-;-
Camorim;-;-
Vargem Pequena;-;-
Vargem Grande;-;-
Recreio dos Bandeirantes;-;-
Grumari;-;-
Padre Miguel; 1 188;  3
Bangu; 5 687;  16
Senador Camará; 1 503;  4
Gericinó;-;-
Deodoro; 2 331;  6
Vila Militar;  566;  2
Campo dos Afonsos;-;-
Jardim Sulacap;-;-
Magalhães Bastos; 1 042;  3
Realengo; 1 721;  5
Santíssimo; 1 066;  3
Campo Grande; 6 701;  18
Senador Vasconcelos;  785;  2
Inhoaíba; 1 744;  5
Cosmos; 1 222;  3
Paciência; 2 162;  6
Santa Cruz; 4 595;  13
Sepetiba;-;-
Guaratiba;-;-
Barra de Guaratiba;-;-
Pedra de Guaratiba;-;-
